Source / Medium,date_launched,date_ended,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Quantity Sold,Revenue,Month,WeekDayName,Year
Referral,2020-04-03,9/18/2020,70781,47902,102239,49.48,143548,104,6.19,517,423,173853,April,Friday,2020
Social,2019-03-28,9/11/2019,13416,9080,16533,55.67,21209,147,2.06,73,59,22125,March,Thursday,2019
Affiliates,2019-06-16,1/17/2020,106082,75007,153230,53.61,215141,216,1.03,711,539,203203,June,Sunday,2019
Social,2020-12-13,5/27/2021,78890,59765,109968,55.67,151067,181,11.34,487,398,94724,December,Sunday,2020
Paid Search,2019-08-14,2/15/2020,147639,98426,192378,53.61,248731,259,5.15,892,757,251324,August,Wednesday,2019
Organic,2020-05-06,11/14/2020,104022,74602,132392,46.39,173848,121,2.06,710,495,42570,May,Wednesday,2020
Email,2019-04-14,10/20/2019,56531,42255,78801,62.89,98700,268,7.22,292,186,19716,April,Sunday,2019
Affiliates,2019-05-13,11/6/2019,72167,53943,91849,60.82,115043,199,12.37,360,316,100488,May,Monday,2019
Organic,2020-05-27,12/13/2020,153346,109975,218402,49.48,275760,225,11.34,1103,758,62914,May,Wednesday,2020
Paid Search,2019-03-16,10/21/2019,167609,125283,231944,47.42,320973,104,5.15,1220,739,273430,March,Saturday,2019
Direct,2019-12-14,6/15/2020,167698,120268,226985,61.86,302647,207,1.03,866,595,222530,December,Saturday,2019
Direct,2020-12-17,,81186,58224,101688,74.23,133530,52,10.31,262,204,31620,December,Thursday,2020
Display,2020-10-30,5/19/2021,154345,120046,212029,70.1,286989,130,3.09,634,519,151548,October,Friday,2020
Affiliates,2019-07-23,1/18/2020,87825,65647,117987,57.73,148973,225,7.22,499,363,110715,July,Tuesday,2019
Paid Search,2020-06-05,12/19/2020,127457,95271,178955,64.95,247645,112,12.37,627,450,131400,June,Friday,2020
Paid Search,2020-09-10,4/13/2021,182336,132608,235748,65.98,309568,60,4.12,802,713,190371,September,Thursday,2020
Referral,2020-08-28,2/28/2021,113010,81048,141548,56.7,201599,95,8.25,613,483,201894,August,Friday,2020
Social,2020-07-16,1/13/2021,180007,134551,249101,60.82,317038,242,6.19,976,877,42973,July,Thursday,2020
Social,2020-07-22,1/8/2021,47369,35886,66508,43.3,89349,78,11.34,377,244,79544,July,Wednesday,2020
Social,2019-12-29,6/15/2020,186981,137875,236087,57.73,312398,277,7.22,998,706,270398,December,Sunday,2019
Organic,2019-11-20,7/2/2020,41251,31251,57918,56.7,79564,60,3.09,251,172,21328,November,Wednesday,2019
Referral,2019-03-19,10/16/2019,157652,119433,213388,65.98,282362,52,4.12,726,638,173536,March,Tuesday,2019
Email,2019-03-19,9/1/2019,79319,61693,112168,52.58,158621,104,3.09,532,349,155654,March,Tuesday,2019
Organic,2019-10-28,5/24/2020,128047,93125,165556,48.45,210708,156,4.12,853,724,225164,October,Monday,2019
Display,2019-04-18,11/12/2019,55062,41157,67854,59.79,92528,52,11.34,273,234,24336,April,Thursday,2019
Direct,2020-05-04,10/24/2020,5065,3377,7009,55.67,8991,233,2.06,31,27,6723,May,Monday,2020
Affiliates,2020-07-19,2/2/2021,9930,6789,13141,52.42,42336,101,0.43,56,129,6244,July,Sunday,2020
Referral,2019-05-23,12/1/2019,48263,34125,65813,53.61,92404,181,3.09,305,191,17381,May,Thursday,2019
Organic,2020-01-11,7/8/2020,153945,108850,214590,62.89,275282,268,1.03,796,579,75270,January,Saturday,2020
Referral,2020-07-19,2/25/2021,2184,1677,2736,41.24,3924,199,7.22,16,11,3091,July,Sunday,2020
Direct,2019-05-01,11/15/2019,168164,115507,207232,65.98,267936,78,5.15,705,627,253308,May,Wednesday,2019
Paid Search,2019-01-07,8/2/2019,150849,100566,204179,49.48,253677,259,10.31,1032,896,250880,January,Monday,2019
Affiliates,2019-07-15,2/19/2020,159994,108279,229486,57.73,282801,138,1.03,970,656,115456,July,Monday,2019
Email,2019-04-04,11/1/2019,187986,134818,263940,64.95,330592,156,2.06,925,607,175423,April,Thursday,2019
Social,2020-04-26,11/17/2020,176325,133580,249348,50.52,352613,190,2.06,1234,897,288834,April,Sunday,2020
Social,2020-01-24,7/25/2020,177192,136026,227307,42.27,291596,233,2.06,1312,994,136178,January,Friday,2020
Referral,2020-09-26,3/22/2021,116616,80100,150776,46.39,211696,268,5.15,808,579,217125,September,Saturday,2020
Referral,2019-03-27,10/21/2019,113429,85931,156967,55.67,225145,78,4.12,696,520,82160,March,Wednesday,2019
Direct,2019-09-26,3/18/2020,116384,85819,166935,46.39,205718,156,10.31,895,805,359835,September,Thursday,2019
Display,2020-03-12,10/19/2020,147757,99997,198502,62.89,274695,78,3.09,737,536,121672,March,Thursday,2020
Email,2019-12-14,7/4/2020,167944,118748,232407,57.73,293443,52,7.22,982,724,291772,December,Saturday,2019
Paid Search,2020-04-04,10/26/2020,153620,116379,189309,43.3,273446,69,8.25,1073,910,124670,April,Saturday,2020
Direct,2020-08-14,2/18/2021,36697,26318,52636,62.89,72840,130,3.09,195,134,56012,August,Friday,2020
Referral,2020-02-24,10/6/2020,19139,13533,26679,49.48,34764,277,4.12,135,112,13216,February,Monday,2020
Organic,2020-10-26,5/25/2021,159020,117257,207208,41.24,257440,52,7.22,1218,935,249645,October,Monday,2020
Paid Search,2020-08-12,2/17/2021,190999,140838,246948,53.61,319286,259,3.09,1146,1030,434660,August,Wednesday,2020
Direct,2020-08-30,3/31/2021,164090,109393,200554,48.45,283612,78,1.03,1034,731,334067,August,Sunday,2020
Display,2019-04-27,10/17/2019,87824,65646,121534,58.76,160818,104,8.25,501,354,74340,April,Saturday,2019
Affiliates,2019-08-26,3/4/2020,118917,80479,165763,45.36,204274,225,7.22,906,577,136749,August,Monday,2019
Organic,2020-12-05,,87753,62048,124095,55.67,157939,216,5.15,550,378,162162,December,Saturday,2020
Organic,2019-12-29,7/6/2020,80257,56747,105388,68.04,143711,251,3.09,337,306,74664,December,Sunday,2019
Direct,2020-12-01,,173811,131675,221214,54.64,294952,130,7.22,1003,669,139152,December,Tuesday,2020
Display,2020-02-20,10/2/2020,51018,34527,67509,64.95,85921,207,6.19,237,203,68005,February,Thursday,2020
Direct,2019-08-22,3/2/2020,176744,130326,235659,67.01,318973,156,3.09,777,487,107627,August,Thursday,2019
Social,2019-12-12,7/12/2020,103214,69852,127193,51.55,173445,259,8.25,616,404,61812,December,Thursday,2019
Referral,2019-12-28,7/18/2020,109589,73059,143905,67.01,200595,207,5.15,475,312,64272,December,Saturday,2019
Organic,2020-06-16,1/17/2021,41802,28712,51091,41.24,63993,86,2.06,300,264,23232,June,Tuesday,2020
Referral,2019-10-05,4/15/2020,26085,18707,33463,72.16,46983,78,3.09,93,65,12610,October,Saturday,2019
Display,2019-07-11,1/5/2020,177921,124006,233634,55.67,313872,225,10.31,1036,628,132508,July,Thursday,2019
Referral,2019-07-26,1/23/2020,126227,87976,160653,71.13,197976,147,4.12,464,356,126380,July,Friday,2019
Email,2019-08-15,3/14/2020,173183,117205,237908,73.2,310001,242,11.34,638,425,175525,August,Thursday,2019
Direct,2020-02-12,9/20/2020,83649,58301,104772,74.23,135463,173,11.34,270,218,85674,February,Wednesday,2020
Display,2019-06-26,12/20/2019,17249,12545,22128,48.45,29951,181,8.25,114,94,41266,June,Wednesday,2019
Direct,2019-08-31,3/30/2020,168230,113853,236202,62.89,334023,104,9.28,877,726,40656,August,Saturday,2019
Referral,2019-02-20,8/8/2019,151311,111573,192578,61.86,272333,173,12.37,734,475,134900,February,Wednesday,2019
Email,2020-04-20,10/7/2020,40597,27065,55360,58.76,76050,138,3.09,228,200,81000,April,Monday,2020
Organic,2019-07-05,12/27/2019,133045,90041,166642,59.79,237339,259,4.12,670,541,82773,July,Friday,2019
Organic,2019-04-20,10/13/2019,53333,39326,74882,68.04,99086,164,2.06,239,198,81972,April,Saturday,2019
Organic,2019-05-05,11/9/2019,72927,52301,94289,49.48,130481,173,12.37,476,370,63270,May,Sunday,2019
Direct,2019-12-07,7/8/2020,143670,103036,178499,41.24,250620,216,5.15,1049,784,208544,December,Saturday,2019
Display,2019-01-26,8/18/2019,171329,131525,209402,54.64,300354,207,5.15,950,796,316012,January,Saturday,2019
Email,2019-09-23,3/6/2020,101822,77138,129592,67.01,170171,86,5.15,428,324,80028,September,Monday,2019
Paid Search,2020-06-16,12/29/2020,94494,66814,128855,61.86,161394,268,2.06,491,357,26418,June,Tuesday,2020
Email,2020-04-21,10/15/2020,29989,24981,36920,54.52,139743,162,0.6,223,442,35916,April,Tuesday,2020
Display,2019-09-09,3/16/2020,111679,80093,139881,59.79,170966,233,6.19,562,431,97837,September,Monday,2019
Display,2019-10-14,4/14/2020,141473,97173,191489,50.52,235976,104,3.09,947,650,96200,October,Monday,2019
Email,2020-04-02,9/20/2020,195187,151812,258278,48.45,323500,60,3.09,1331,834,80064,April,Thursday,2020
Direct,2019-06-20,1/26/2020,21944,15516,27042,62.89,38788,233,6.19,100,73,27740,June,Thursday,2019
Social,2019-02-25,9/30/2019,67307,49630,97221,43.3,131592,199,5.15,551,468,37908,February,Monday,2019
Display,2019-05-21,11/30/2019,90480,62148,127952,53.61,178357,121,4.12,594,402,106128,May,Tuesday,2019
Email,2019-11-12,5/17/2020,67407,44938,97366,62.89,123920,86,9.28,361,230,37260,November,Tuesday,2019
Affiliates,2020-03-31,9/14/2020,73844,61557,110546,72.19,266187,75,0.48,531,843,96195,March,Tuesday,2020
Email,2020-03-18,9/20/2020,34027,22685,47088,56.7,65162,173,9.28,204,146,26426,March,Wednesday,2020
Display,2020-04-13,10/14/2020,164588,128013,236076,53.61,333845,78,8.25,1095,796,234820,April,Monday,2020
Referral,2019-07-12,1/19/2020,198209,154163,286302,50.52,355709,147,4.12,1417,1217,258004,July,Friday,2019
Referral,2019-08-19,3/17/2020,195273,145962,252474,73.2,328981,233,7.22,677,547,135656,August,Monday,2019
Organic,2020-02-28,9/13/2020,63723,42482,88826,56.7,109462,190,7.22,385,264,64416,February,Friday,2020
Referral,2020-10-17,4/18/2021,25397,19240,36171,70.1,45670,69,7.22,108,89,13350,October,Saturday,2020
Direct,2020-07-26,2/25/2021,7000,4949,9192,69.07,12163,164,3.09,28,25,4500,July,Sunday,2020
Referral,2020-04-26,11/20/2020,89379,61392,123686,65.98,173660,268,8.25,421,315,119070,April,Sunday,2020
Social,2019-05-15,11/16/2019,133418,101074,169805,65.98,224691,95,8.25,578,403,128557,May,Wednesday,2019
Referral,2019-08-30,2/25/2020,110690,80502,139760,57.73,190582,207,4.12,591,388,60528,August,Friday,2019
Affiliates,2020-10-02,4/10/2021,157415,106533,216247,54.64,288329,147,4.12,981,892,219432,October,Friday,2020
Referral,2019-05-01,11/13/2019,17912,13570,23702,70.1,30406,190,2.06,71,49,7497,May,Wednesday,2019
Referral,2020-05-12,11/16/2020,145526,97017,179335,52.58,226433,104,1.03,850,704,284416,May,Tuesday,2020
Organic,2020-06-09,12/20/2020,197737,131825,275633,73.2,387000,199,3.09,739,455,202020,June,Tuesday,2020
Social,2019-10-13,5/15/2020,38395,29863,50806,41.24,72873,69,6.19,299,230,56580,October,Sunday,2019
Affiliates,2020-11-17,5/28/2021,124208,82805,156828,53.61,194847,225,1.03,728,537,66051,November,Tuesday,2020
Email,2019-07-26,3/5/2020,92638,72052,127260,59.79,155540,156,8.25,512,424,191224,July,Friday,2019
Direct,2020-03-18,10/23/2020,157628,108270,206986,51.55,257164,156,8.25,1003,669,129786,March,Wednesday,2020
Organic,2019-11-04,5/27/2020,82656,56774,106868,61.86,137093,242,5.15,408,256,46592,November,Monday,2019
Organic,2019-11-30,5/16/2020,32303,24472,40460,73.2,57216,207,3.09,108,85,37740,November,Saturday,2019
Display,2020-02-10,8/2/2020,167850,120377,233973,68.04,295420,242,4.12,748,642,227910,February,Monday,2020
Referral,2020-05-14,11/27/2020,183667,131721,261586,51.55,359350,242,11.34,1267,1024,199680,May,Thursday,2020
Referral,2020-04-06,10/19/2020,104065,71479,128242,67.01,168399,104,4.12,423,256,13056,April,Monday,2020
Organic,2020-06-06,11/28/2020,15046,10335,18542,68.04,24161,156,8.25,59,43,7869,June,Saturday,2020
Email,2019-09-02,3/25/2020,188110,125407,252713,62.89,326740,60,6.19,938,673,225455,September,Monday,2019
Affiliates,2020-02-05,7/27/2020,17055,12748,21017,60.82,27386,104,2.06,82,53,7261,February,Wednesday,2020
Social,2019-05-31,12/25/2019,49800,38733,65897,73.2,93188,225,11.34,177,125,14500,May,Friday,2019
Email,2020-05-23,12/1/2020,148025,109150,212319,42.27,276658,216,12.37,1226,817,38399,May,Saturday,2020
Display,2020-11-17,5/22/2021,28029,21517,36523,71.13,49435,112,12.37,105,75,25275,November,Tuesday,2020
Referral,2019-10-14,5/4/2020,174928,136055,236771,42.27,301345,251,2.06,1367,1077,344640,October,Monday,2019
Affiliates,2020-04-05,10/5/2020,99905,69631,124124,50.52,160484,78,12.37,614,385,168245,April,Sunday,2020
Social,2020-06-04,11/26/2020,23675,16740,32762,61.86,40373,112,1.03,125,88,25168,June,Thursday,2020
Display,2019-07-29,2/21/2020,102060,71133,142265,47.42,196872,104,6.19,748,453,188901,July,Monday,2019
Email,2019-02-18,8/11/2019,101588,77987,140581,71.13,181761,138,6.19,406,258,45666,February,Monday,2019
Referral,2019-05-23,12/10/2019,195403,146059,260537,51.55,363173,251,6.19,1262,790,352340,May,Thursday,2019
Display,2019-02-22,10/1/2019,149278,108566,183959,48.45,228555,104,10.31,948,689,274222,February,Friday,2019
Direct,2020-06-18,12/21/2020,121569,90870,157180,43.3,212749,52,4.12,891,576,127296,June,Thursday,2020
Organic,2019-02-18,9/5/2019,48877,34066,65169,69.07,89525,86,7.22,202,182,60242,February,Monday,2019
Referral,2020-02-12,7/26/2020,161094,115532,205029,47.42,285798,173,4.12,1078,893,315229,February,Wednesday,2020
Paid Search,2019-12-23,6/20/2020,40355,30164,55437,70.1,78396,199,7.22,166,126,34020,December,Monday,2019
Direct,2020-03-31,9/21/2020,146823,114196,180933,73.2,244899,156,9.28,485,436,42292,March,Tuesday,2020
Affiliates,2019-06-10,12/2/2019,39356,27032,55257,60.82,72560,138,1.03,216,181,61178,June,Monday,2019
Organic,2019-09-08,4/13/2020,1315,890,1846,48.45,2480,207,8.25,10,8,1024,September,Sunday,2019
Social,2019-08-03,2/14/2020,122150,90070,175205,64.95,231837,78,7.22,614,527,30039,August,Saturday,2019
Email,2019-01-07,7/16/2019,12469,9194,15618,43.3,21928,104,10.31,89,66,12936,January,Monday,2019
Display,2020-02-16,8/13/2020,38248,28203,49452,63.92,71431,138,2.06,178,122,29646,February,Sunday,2020
Display,2020-07-25,1/16/2021,15104,10069,21817,43.3,31293,147,9.28,124,103,28737,July,Saturday,2020
Email,2020-12-22,,108330,73314,146628,52.58,211796,181,9.28,695,562,234354,December,Tuesday,2020
Social,2020-05-27,12/23/2020,131870,99902,179823,43.3,230682,199,8.25,1020,680,231880,May,Wednesday,2020
Affiliates,2019-11-29,5/21/2020,116693,90761,153233,46.39,193476,60,8.25,821,655,97595,November,Friday,2019
Display,2020-02-16,9/22/2020,148098,100228,204944,60.82,291890,147,8.25,803,698,34202,February,Sunday,2020
Email,2020-05-28,12/27/2020,154464,120139,190350,61.86,259568,251,6.19,726,550,177100,May,Thursday,2020
Social,2020-01-08,7/18/2020,168665,112443,231701,61.86,332339,277,11.34,884,661,94523,January,Wednesday,2020
Direct,2019-09-13,3/7/2020,89902,61751,116237,73.2,153809,225,10.31,312,284,126380,September,Friday,2019
Direct,2020-05-02,11/18/2020,179944,129051,247196,61.86,312116,60,12.37,943,772,274832,May,Saturday,2020
Display,2019-05-20,11/18/2019,99077,76059,125097,60.82,170587,164,8.25,490,441,33075,May,Monday,2019
Display,2020-03-04,9/25/2020,162551,114935,224944,68.04,274932,104,10.31,719,545,47960,March,Wednesday,2020
Referral,2020-09-12,4/9/2021,169678,128544,231379,44.33,285134,242,2.06,1288,1171,405166,September,Saturday,2020
Social,2019-08-01,3/3/2020,12394,9014,15524,57.73,21326,216,4.12,66,53,23532,August,Thursday,2019
Affiliates,2019-09-16,3/12/2020,27208,19788,38751,69.07,51668,104,1.03,120,93,19065,September,Monday,2019
Direct,2020-12-29,,190369,146142,246134,55.67,308289,268,7.22,1091,937,214573,December,Tuesday,2020
Display,2019-06-25,1/30/2020,91731,69493,115822,64.95,147410,181,3.09,406,258,95718,June,Tuesday,2019
Referral,2020-02-22,8/27/2020,70515,49147,99718,45.36,126914,147,11.34,545,336,39984,February,Saturday,2020
Direct,2020-06-24,1/2/2021,77766,54201,111543,63.92,152104,242,5.15,402,317,51354,June,Wednesday,2020
Social,2020-03-30,10/15/2020,2698,1989,3625,67.01,5126,86,12.37,12,9,1746,March,Monday,2020
Referral,2019-11-30,5/27/2020,163156,112067,224133,63.92,307900,259,12.37,809,662,178078,November,Saturday,2019
Paid Search,2019-07-19,1/12/2020,32807,22203,41754,44.33,53141,251,6.19,232,206,49440,July,Friday,2019
Referral,2020-02-25,8/27/2020,150261,109281,197312,57.73,255110,216,2.06,834,522,63684,February,Tuesday,2020
Affiliates,2020-06-11,12/19/2020,168702,122692,213008,71.13,303375,259,11.34,615,398,178702,June,Thursday,2020
Email,2019-12-01,5/23/2020,76844,58991,101682,62.89,135576,233,6.19,377,327,97119,December,Sunday,2019
Paid Search,2019-06-21,12/25/2019,77771,57346,106837,43.3,154320,268,2.06,606,459,139077,June,Friday,2019
Social,2019-12-04,5/21/2020,130486,93581,184526,43.3,266538,95,12.37,1046,687,144270,December,Wednesday,2019
Display,2020-01-30,8/6/2020,64253,42835,81777,42.27,109862,207,6.19,472,324,39204,January,Thursday,2020
Paid Search,2019-08-06,3/2/2020,151974,102851,219518,49.48,272734,95,9.28,1109,885,206205,August,Tuesday,2019
Affiliates,2020-01-28,9/1/2020,36155,27025,47111,51.55,63766,130,1.03,228,175,75600,January,Tuesday,2020
Organic,2019-09-03,2/19/2020,743,710,771,63.29,1581,232,0.0,0,0,0,September,Tuesday,2019
Organic,2020-07-28,2/15/2021,80098,60680,114079,46.39,161324,242,4.12,612,402,157986,July,Tuesday,2020
Social,2019-08-26,3/30/2020,191385,139189,251314,65.98,355394,95,4.12,855,553,57512,August,Monday,2019
Display,2020-01-16,7/6/2020,3300,2233,4067,72.16,5710,268,11.34,11,9,4032,January,Thursday,2020
Affiliates,2019-05-06,12/4/2019,35553,24420,48840,53.61,65120,60,11.34,227,149,19966,May,Monday,2019
Email,2020-03-14,9/3/2020,76356,52447,97180,44.33,121720,268,1.03,541,328,89216,March,Saturday,2020
Email,2019-07-04,1/27/2020,4970,3564,7078,74.23,10224,207,12.37,18,12,4116,July,Thursday,2019
Social,2020-06-21,12/9/2020,80732,61976,102750,43.3,148417,251,2.06,583,389,165325,June,Sunday,2020
Referral,2019-05-10,11/12/2019,32946,22630,43262,59.79,60305,147,2.06,174,146,36646,May,Friday,2019
Display,2019-04-08,10/3/2019,47947,35839,60539,54.64,84388,95,7.22,275,186,77748,April,Monday,2019
Display,2019-03-09,10/1/2019,158066,106974,220334,61.86,269297,130,3.09,840,755,55115,March,Saturday,2019
Referral,2019-05-09,10/22/2019,153795,119618,208167,61.86,296480,242,11.34,794,545,152600,May,Thursday,2019
Affiliates,2019-08-26,4/7/2020,31408,23159,41877,50.52,55836,156,2.06,207,178,20114,August,Monday,2019
Organic,2020-12-29,,160770,120172,204616,57.73,274888,138,6.19,865,550,140800,December,Tuesday,2020
Referral,2020-05-05,12/9/2020,120,106,140,36.43,696,234,0.71,1,1,47,May,Tuesday,2020
Affiliates,2020-10-05,5/1/2021,136133,104506,196637,47.42,240334,164,4.12,1034,742,124656,October,Monday,2020
Email,2020-01-19,7/15/2020,123678,92446,163655,44.33,209941,95,4.12,911,552,94944,January,Sunday,2020
Email,2020-04-27,11/20/2020,7571,5659,10324,67.01,13974,60,9.28,34,30,1650,April,Monday,2020
Social,2020-03-18,9/26/2020,105053,72158,144315,65.98,205540,251,8.25,491,352,74976,March,Wednesday,2020
Affiliates,2020-03-07,10/13/2020,41792,31661,51923,69.07,66608,69,7.22,161,117,48555,March,Saturday,2020
Direct,2019-07-27,2/13/2020,31372,21232,41829,55.67,58730,156,2.06,185,135,18630,July,Saturday,2019
Organic,2020-11-13,5/21/2021,163716,114105,206712,60.82,261000,199,6.19,810,655,262000,November,Friday,2020
Paid Search,2019-10-19,5/1/2020,102256,78500,142539,72.16,178534,233,9.28,397,269,93343,October,Saturday,2019
Organic,2019-10-02,5/3/2020,86706,63059,116484,56.7,145899,225,11.34,504,331,36741,October,Wednesday,2019
Direct,2019-08-13,3/25/2020,180490,134912,224245,55.67,287668,268,6.19,994,723,120018,August,Tuesday,2019
Email,2020-02-13,8/11/2020,164951,109967,216602,53.61,271299,60,7.22,1005,680,295120,February,Thursday,2020
Affiliates,2019-07-14,2/4/2020,168694,119279,221517,49.48,319969,277,7.22,1119,995,90545,July,Sunday,2019
Affiliates,2019-07-20,1/4/2020,4321,2924,5761,50.52,7740,69,1.03,29,22,5038,July,Saturday,2019
Direct,2019-09-07,4/18/2020,144311,110784,188042,58.76,239326,164,12.37,775,470,118910,September,Saturday,2019
Referral,2019-03-28,10/7/2019,68310,46230,85560,73.2,106302,86,7.22,229,153,53550,March,Thursday,2019
Email,2019-07-04,1/26/2020,26767,17845,33797,59.79,43014,190,6.19,136,118,44604,July,Thursday,2019
Direct,2019-02-15,8/18/2019,8069,5705,11166,59.79,14888,112,7.22,45,41,8118,February,Friday,2019
Social,2019-04-05,10/3/2019,98178,73386,139829,58.76,182201,138,2.06,577,396,19404,April,Friday,2019
Display,2019-12-03,5/30/2020,22652,17389,28601,72.16,40157,164,7.22,80,53,12932,December,Tuesday,2019
Referral,2019-10-28,4/25/2020,19263,15538,26057,39.86,64175,90,0.07,18,22,3076,October,Monday,2019
Social,2019-10-25,5/30/2020,38813,28620,53711,72.16,73242,242,5.15,150,94,5922,October,Friday,2019
Referral,2020-01-24,8/28/2020,194420,151216,257263,49.48,361208,69,8.25,1300,1129,226929,January,Friday,2020
Organic,2020-03-25,10/4/2020,169983,113322,240380,44.33,332647,52,7.22,1338,1054,452166,March,Wednesday,2020
Display,2019-08-10,2/4/2020,137404,99930,176266,41.24,238582,199,3.09,1036,774,108360,August,Saturday,2019
Social,2019-03-03,9/7/2019,73078,52409,103343,48.45,138835,86,2.06,533,323,113696,March,Sunday,2019
Paid Search,2020-07-06,1/28/2021,43721,31797,57411,44.33,70169,268,6.19,320,252,12348,July,Monday,2020
Email,2019-03-12,10/20/2019,14051,9935,20012,61.86,27087,112,4.12,76,68,20264,March,Tuesday,2019
Email,2019-09-16,3/21/2020,134344,93634,188624,70.1,272457,207,12.37,564,399,61845,September,Monday,2019
Referral,2019-03-04,9/7/2019,56916,37944,77613,70.1,108188,277,12.37,232,176,37488,March,Monday,2019
Referral,2019-10-31,6/11/2020,39745,28103,52592,65.98,69591,52,3.09,179,110,6160,October,Thursday,2019
Paid Search,2020-05-09,11/1/2020,55342,48064,66180,58.3,213302,127,0.52,341,742,54626,May,Saturday,2020
Organic,2020-12-28,,44896,33559,60768,41.24,82252,156,10.31,357,270,18360,December,Monday,2020
Display,2019-10-08,4/14/2020,69166,50303,86632,59.79,112884,130,3.09,348,306,21420,October,Tuesday,2019
Social,2020-06-04,1/11/2021,99128,69089,141182,62.89,179686,138,12.37,524,376,80464,June,Thursday,2020
Paid Search,2019-09-29,4/9/2020,66994,50076,93386,48.45,134891,138,5.15,481,316,111548,September,Sunday,2019
Social,2020-05-11,11/17/2020,68337,53151,98019,51.55,137623,173,3.09,475,293,91416,May,Monday,2020
Organic,2019-02-06,8/20/2019,1702,1152,2097,63.92,2965,242,11.34,8,7,2072,February,Wednesday,2019
Paid Search,2020-09-14,4/12/2021,148041,110657,195893,68.04,253276,259,5.15,626,468,73008,September,Monday,2020
Social,2020-04-07,10/9/2020,103016,74921,138395,72.16,197108,277,2.06,385,342,137484,April,Tuesday,2020
Referral,2019-10-13,4/14/2020,35315,24257,49227,70.1,60166,95,5.15,147,120,12720,October,Sunday,2019
Affiliates,2019-09-27,3/17/2020,92253,66161,130459,47.42,166039,225,11.34,686,561,103224,September,Friday,2019
Social,2020-02-20,8/29/2020,192451,138020,254657,71.13,342115,130,12.37,735,631,135034,February,Thursday,2020
Display,2020-08-11,2/17/2021,115363,83900,154983,69.07,198817,147,7.22,479,344,141728,August,Tuesday,2020
Affiliates,2019-02-14,8/18/2019,119897,92042,161074,72.16,229408,121,8.25,448,398,46168,February,Thursday,2019
Email,2019-02-25,8/11/2019,66954,49370,96035,54.64,134837,86,7.22,436,277,122711,February,Monday,2019
Direct,2020-02-26,8/31/2020,44648,34275,54570,52.58,71106,130,11.34,259,191,79265,February,Wednesday,2020
Email,2020-12-01,,152081,115213,196630,63.92,280049,95,5.15,709,487,192365,December,Tuesday,2020
Affiliates,2019-11-21,7/3/2020,198415,138289,272570,74.23,388206,69,8.25,702,539,211288,November,Thursday,2019
Direct,2019-08-17,2/4/2020,72551,48367,93803,61.86,127913,121,2.06,358,250,108500,August,Saturday,2019
Social,2020-07-25,2/15/2021,77753,52621,98958,74.23,134943,112,4.12,255,175,78225,July,Saturday,2020
Direct,2020-10-15,4/23/2021,163475,112286,199803,59.79,274477,259,8.25,803,519,187359,October,Thursday,2020
Organic,2019-03-22,10/31/2019,180814,124195,235606,69.07,323661,121,8.25,729,479,136515,March,Friday,2019
Referral,2020-07-18,1/11/2021,142143,101941,185217,64.95,235731,242,11.34,649,479,123103,July,Saturday,2020
Email,2019-05-30,12/22/2019,146505,109509,210138,73.2,263203,147,1.03,563,398,118604,May,Thursday,2019
Email,2019-08-09,2/3/2020,35562,27300,49212,67.01,62136,225,1.03,162,129,49923,August,Friday,2019
Display,2020-08-28,2/9/2021,38320,29804,48384,57.73,68911,233,4.12,205,170,21250,August,Friday,2020
Direct,2019-01-19,8/29/2019,112330,86233,161120,47.42,227846,138,2.06,847,633,170277,January,Saturday,2019
Referral,2019-03-29,10/13/2019,89405,66828,118304,73.2,158934,130,1.03,317,195,58695,March,Friday,2019
Display,2019-01-17,8/25/2019,57884,40928,78348,58.76,100507,225,4.12,323,284,71568,January,Thursday,2019
Organic,2020-02-24,9/7/2020,132465,88310,188662,68.04,247738,233,7.22,603,530,195040,February,Monday,2020
Organic,2019-08-17,3/28/2020,154836,120428,192372,42.27,244837,242,2.06,1111,864,108000,August,Saturday,2019
Paid Search,2020-03-02,9/26/2020,46176,34982,61568,54.64,83334,268,12.37,279,231,57057,March,Monday,2020
Paid Search,2019-04-02,9/25/2019,90270,65651,113977,45.36,139305,156,7.22,623,554,157890,April,Tuesday,2019
Organic,2019-04-08,11/17/2019,159136,120558,197714,61.86,277598,86,12.37,754,647,175984,April,Monday,2019
Email,2019-02-04,8/4/2019,34454,24709,46635,70.1,66891,147,3.09,139,101,40299,February,Monday,2019
Social,2020-01-14,8/1/2020,196772,135157,268325,72.16,387581,233,11.34,747,634,89394,January,Tuesday,2020
Paid Search,2020-07-30,1/25/2021,52432,39192,64613,45.36,84845,225,8.25,353,314,62800,July,Thursday,2020
Referral,2019-03-30,11/4/2019,100673,76267,134231,70.1,180331,86,5.15,401,296,125504,March,Saturday,2019
Affiliates,2019-04-17,11/21/2019,4492,3267,5808,72.16,7099,104,12.37,16,12,588,April,Wednesday,2019
Organic,2020-11-08,4/30/2021,73007,53096,93655,53.61,127711,69,4.12,434,333,68598,November,Sunday,2020
Social,2019-08-23,4/4/2020,117435,78290,143532,43.3,189926,130,3.09,814,666,245088,August,Friday,2019
Display,2019-08-21,3/31/2020,68252,48259,98586,65.98,128461,225,12.37,335,227,23835,August,Wednesday,2019
